State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Karnataka,Tier 1 city,General Store / Kirana,1 store,Less than 500,Excel / spreadsheets,Sales reports / historical data,Daily,Occasionally,More than 30%,4–10 suppliers,1 week,FMCG / grocery items,Seasonal weather,Increases significantly,Rarely,Snacks + beverages,1–3 years,Store owner,Not comfortable,Promotion demand prediction,₹1–5 lakh,₹7000–₹15000,Lower inventory cost,Likely
Uttar Pradesh,Tier 2 city,Apparel / Fashion,2–5 stores,2000–5000,Combination of multiple tools,Software analytics,Monthly,Never,20–30%,1–3 suppliers,1–2 days,Apparel / clothing,Seasonal weather,Increases significantly,Sometimes,Saree + blouse,1–3 years,Distributor recommendation,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Better supplier management,Maybe
Other,Tier 1 city,Apparel / Fashion,2–5 stores,5000–10000,ERP or inventory management software,Sales reports / historical data,Weekly,Occasionally,5–10%,4–10 suppliers,3–5 days,Apparel / clothing,Social media trends,Slight increase,Sometimes,Saree + blouse,1–3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Increased revenue,Maybe
Rajasthan,Tier 3 city / small town,Pharmacy / Medical Store,11–25 stores,5000–10000,ERP or inventory management software,Combination of methods,Rarely,Rarely,10–20%,4–10 suppliers,3–5 days,Medicines / healthcare products,Seasonal weather,No change,Sometimes,Other,1–3 years,Store owner,Not comfortable,Demand forecasting,₹5–10 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Gujarat,Tier 1 city,Grocery / Supermarket,11–25 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Monthly,Very frequently,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Slight increase,Rarely,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 1 city,Pharmacy / Medical Store,2–5 stores,More than 10000,Excel / spreadsheets,Software analytics,Weekly,Never,Less than 5%,1–3 suppliers,Highly variable,Medicines / healthcare products,Regular repeat customers,Increases significantly,Rarely,Medicines + health supplements,More than 3 years,Operations manager,Not comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Better supplier management,Very likely
Telangana,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Rarely,Very frequently,5–10%,4–10 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Difficult to predict,Yes frequently,Rice + cooking oil,No digital data,Store owner,Neutral,Demand forecasting,More than ₹50 lakh,Less than ₹1000,Increased revenue,Likely
Maharashtra,Tier 3 city / small town,Beauty / Cosmetics,1 store,500–2000,Combination of multiple tools,Combination of methods,Monthly,Rarely,5–10%,4–10 suppliers,1–2 days,Beauty / cosmetics,Seasonal weather,Slight increase,Rarely,Other,More than 3 years,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Maybe
Other,Tier 1 city,Apparel / Fashion,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Rarely,Occasionally,5–10%,4–10 suppliers,1–2 days,Apparel / clothing,Promotions / discounts,Difficult to predict,Yes frequently,Saree + blouse,More than 3 years,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,Less than ₹1000,Automated purchasing,Maybe
Telangana,Tier 1 city,Pharmacy / Medical Store,2–5 stores,Less than 500,Excel / spreadsheets,Sales reports / historical data,Rarely,Rarely,Less than 5%,1–3 suppliers,1–2 days,Medicines / healthcare products,Seasonal weather,Slight increase,Sometimes,Medicines + health supplements,1–3 years,Operations manager,Very comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Lower inventory cost,Likely
Karnataka,Tier 1 city,Grocery / Supermarket,2–5 stores,2000–5000,Combination of multiple tools,Combination of methods,Rarely,Occasionally,10–20%,1–3 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Snacks + beverages,1–3 years,Store owner,Not comfortable,Promotion demand prediction,₹5–10 lakh,Less than ₹1000,Lower inventory cost,Likely
Karnataka,Tier 1 city,Apparel / Fashion,6–10 stores,5000–10000,Manual notebook / paper records,Combination of methods,Rarely,Occasionally,5–10%,10–20 suppliers,Highly variable,Apparel / clothing,Regular repeat customers,Slight increase,Rarely,Saree + blouse,1–3 years,Head office / franchise owner,Not comfortable,Inventory alerts,More than ₹50 lakh,₹3000–₹7000,Better supplier management,Maybe
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,1 store,500–2000,Manual notebook / paper records,Supplier recommendations,Rarely,Very frequently,10–20%,1–3 suppliers,1 week,Medicines / healthcare products,Promotions / discounts,Difficult to predict,Sometimes,Other,More than 3 years,Operations manager,Very comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Maybe
Telangana,Tier 1 city,Apparel / Fashion,2–5 stores,500–2000,POS or billing software,Supplier recommendations,Rarely,Rarely,5–10%,1–3 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Increases significantly,Sometimes,Saree + blouse,Less than 1 year,Head office / franchise owner,Somewhat comfortable,Demand forecasting,₹10–50 lakh,₹3000–₹7000,Automated purchasing,Maybe
Tamil Nadu,Tier 2 city,Beauty / Cosmetics,1 store,More than 10000,Manual notebook / paper records,Combination of methods,Weekly,Occasionally,More than 30%,4–10 suppliers,3–5 days,Beauty / cosmetics,Seasonal weather,Slight increase,Yes frequently,Other,1–3 years,Store owner,Neutral,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Better supplier management,Unlikely
Gujarat,Rural,Beauty / Cosmetics,6–10 stores,Less than 500,Excel / spreadsheets,Combination of methods,Rarely,Rarely,10–20%,4–10 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Increases significantly,Yes frequently,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Demand forecasting,₹1–5 lakh,₹1000–₹3000,Better supplier management,Likely
Gujarat,Tier 1 city,Other,1 store,500–2000,Manual notebook / paper records,Software analytics,Weekly,Rarely,10–20%,4–10 suppliers,1 week,Electronics,Festivals,Increases significantly,Sometimes,Other,More than 3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Telangana,Tier 3 city / small town,Grocery / Supermarket,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Monthly,Occasionally,10–20%,10–20 suppliers,Highly variable,FMCG / grocery items,Seasonal weather,Slight increase,Yes frequently,Rice + cooking oil,Less than 1 year,Operations manager,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,₹3000–₹7000,Better supplier management,Unlikely
Rajasthan,Tier 1 city,Grocery / Supermarket,1 store,2000–5000,Excel / spreadsheets,Combination of methods,Monthly,Never,5–10%,4–10 suppliers,1 week,FMCG / grocery items,Seasonal weather,Increases significantly,Sometimes,Other,More than 3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,More than ₹15000,Better supplier management,Very likely
Tamil Nadu,Tier 1 city,Beauty / Cosmetics,11–25 stores,Less than 500,ERP or inventory management software,Sales reports / historical data,Rarely,Rarely,10–20%,1–3 suppliers,Highly variable,Beauty / cosmetics,Regular repeat customers,Slight increase,Never,Shampoo + conditioner,Less than 1 year,Store owner,Neutral,Promotion demand prediction,₹5–10 lakh,More than ₹15000,Better supplier management,Maybe
Rajasthan,Tier 1 city,General Store / Kirana,1 store,Less than 500,POS or billing software,Combination of methods,Monthly,Occasionally,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,No change,Sometimes,Rice + cooking oil,1–3 years,Head office / franchise owner,Neutral,Demand forecasting,Less than ₹1 lakh,₹7000–₹15000,Reduced stockouts,Maybe
Gujarat,Tier 3 city / small town,Electronics,1 store,Less than 500,POS or billing software,Sales reports / historical data,Monthly,Rarely,5–10%,4–10 suppliers,3–5 days,Electronics,Regular repeat customers,Difficult to predict,Yes frequently,Other,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,₹3000–₹7000,Better supplier management,Unlikely
Maharashtra,Tier 1 city,General Store / Kirana,2–5 stores,Less than 500,Excel / spreadsheets,Sales reports / historical data,Weekly,Rarely,10–20%,4–10 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Slight increase,Rarely,Rice + cooking oil,1–3 years,Operations manager,Not comfortable,Promotion demand prediction,Less than ₹1 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Maharashtra,Tier 1 city,General Store / Kirana,6–10 stores,2000–5000,POS or billing software,Past experience / intuition,Rarely,Rarely,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Festivals,Difficult to predict,Rarely,Rice + cooking oil,Less than 1 year,Head office / franchise owner,Very comfortable,Supplier performance insights,₹5–10 lakh,More than ₹15000,Better supplier management,Maybe
West Bengal,Tier 1 city,Pharmacy / Medical Store,2–5 stores,500–2000,POS or billing software,Past experience / intuition,Weekly,Occasionally,More than 30%,10–20 suppliers,3–5 days,Medicines / healthcare products,Social media trends,Slight increase,Yes frequently,Other,No digital data,Operations manager,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Reduced stockouts,Very likely
Uttar Pradesh,Tier 2 city,Apparel / Fashion,2–5 stores,Less than 500,Manual notebook / paper records,Sales reports / historical data,Weekly,Occasionally,5–10%,4–10 suppliers,Highly variable,Apparel / clothing,Seasonal weather,Slight increase,Sometimes,Saree + blouse,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹5–10 lakh,More than ₹15000,Lower inventory cost,Very likely
Maharashtra,Tier 1 city,Grocery / Supermarket,1 store,5000–10000,ERP or inventory management software,Supplier recommendations,Monthly,Never,10–20%,4–10 suppliers,Same day,FMCG / grocery items,Festivals,Slight increase,Rarely,Snacks + beverages,More than 3 years,Store owner,Neutral,Supplier performance insights,₹10–50 lakh,₹1000–₹3000,Better supplier management,Likely
Telangana,Rural,Pharmacy / Medical Store,2–5 stores,Less than 500,POS or billing software,Combination of methods,Monthly,Never,20–30%,10–20 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Yes frequently,Medicines + health supplements,More than 3 years,Operations manager,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Lower inventory cost,Likely
Karnataka,Tier 2 city,Beauty / Cosmetics,1 store,500–2000,Excel / spreadsheets,Past experience / intuition,Almost never,Occasionally,10–20%,4–10 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Increases significantly,Sometimes,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,₹7000–₹15000,Better supplier management,Very likely
West Bengal,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,Manual notebook / paper records,Supplier recommendations,Weekly,Rarely,10–20%,1–3 suppliers,1–2 days,Apparel / clothing,Festivals,Slight increase,Yes frequently,Saree + blouse,More than 3 years,Operations manager,Somewhat comfortable,Automatic reorder suggestions,Less than ₹1 lakh,₹1000–₹3000,Lower inventory cost,Likely
Other,Rural,Pharmacy / Medical Store,2–5 stores,500–2000,Manual notebook / paper records,Combination of methods,Monthly,Occasionally,5–10%,4–10 suppliers,1 week,Medicines / healthcare products,Festivals,Slight increase,Yes frequently,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,Less than ₹1000,Lower inventory cost,Unlikely
Other,Tier 1 city,Pharmacy / Medical Store,6–10 stores,Less than 500,Combination of multiple tools,Combination of methods,Rarely,Very frequently,10–20%,10–20 suppliers,1–2 days,Medicines / healthcare products,Seasonal weather,Slight increase,Sometimes,Medicines + health supplements,No digital data,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Likely
Delhi/NCR,Tier 1 city,General Store / Kirana,6–10 stores,5000–10000,Excel / spreadsheets,Combination of methods,Monthly,Rarely,5–10%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Maybe
Maharashtra,Tier 1 city,Apparel / Fashion,1 store,500–2000,ERP or inventory management software,Past experience / intuition,Rarely,Occasionally,20–30%,4–10 suppliers,Highly variable,Apparel / clothing,Promotions / discounts,No change,Yes frequently,Saree + blouse,1–3 years,Store owner,Not comfortable,Demand forecasting,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Unlikely
Uttar Pradesh,Tier 2 city,General Store / Kirana,2–5 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,Less than 5%,4–10 suppliers,1–2 days,FMCG / grocery items,Festivals,No change,Never,Snacks + beverages,Less than 1 year,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹10–50 lakh,₹1000–₹3000,Increased revenue,Likely
Telangana,Tier 3 city / small town,Apparel / Fashion,2–5 stores,Less than 500,Combination of multiple tools,Sales reports / historical data,Almost never,Never,10–20%,10–20 suppliers,1 week,Apparel / clothing,Promotions / discounts,Slight increase,Never,Saree + blouse,More than 3 years,IT team,Somewhat comfortable,Demand forecasting,₹10–50 lakh,Less than ₹1000,Lower inventory cost,Likely
Other,Tier 2 city,Apparel / Fashion,1 store,500–2000,Manual notebook / paper records,Supplier recommendations,Rarely,Occasionally,20–30%,4–10 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Slight increase,Never,Saree + blouse,Less than 1 year,Head office / franchise owner,Neutral,Automatic reorder suggestions,₹10–50 lakh,Less than ₹1000,Reduced stockouts,Likely
Telangana,Tier 3 city / small town,Apparel / Fashion,2–5 stores,2000–5000,POS or billing software,Past experience / intuition,Rarely,Occasionally,10–20%,1–3 suppliers,3–5 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Rarely,Saree + blouse,More than 3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Automated purchasing,Maybe
Delhi/NCR,Tier 1 city,Grocery / Supermarket,2–5 stores,More than 10000,Excel / spreadsheets,Supplier recommendations,Weekly,Rarely,5–10%,4–10 suppliers,3–5 days,FMCG / grocery items,Regular repeat customers,No change,Sometimes,Other,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹1–5 lakh,Less than ₹1000,Reduced stockouts,Likely
